Deal Name,Amount,In Quarter,Confidence in Close,Deal Stage,Weighted Amount
ExtraHop - New Deal,"$36,000.00",80%,80%,Negotiation,"$28,800.00"
CompassMSP - New Deal,"$50,000.00",80%,80%,Preparing Proposal,"$40,000.00"
greenlight.me - New Deal,"$25,000.00",80%,80%,Negotiation,"$20,000.00"
CitiusTech - 2025.10,"$125,000.00",50%,50%,Qualified,"$62,500.00"
MedWiz Pharmacy - New Deal,"$100,000.00",50%,80%,Qualified,"$50,000.00"
Miami Police Department - New Deal,"$30,000.00",50%,80%,Technical Validation,"$15,000.00"
Progress Residential - New Deal,"$125,000.00",30%,50%,Qualified,"$37,500.00"
Hannoush Jewelers - New Deal,"$30,000.00",20%,20%,Negotiation,"$6,000.00"
JND Legal Administration - New Deal,"$28,300.00",20%,50%,Qualified,"$5,660.00"
Global Crossing Airlines - New Deal,"$70,000.00",20%,50%,Preparing Proposal,"$14,000.00"
TCS (Tata Consulting Services),"$125,000.00",10%,30%,Preparing Proposal,"$12,500.00"
Sum,"$744,300.00",,,,$0.00
,,,,,"$291,960.00"